"auto_id","Weight"
8518,22
8518,10
8518,11
8518,10
8518,12
8518,12
8518,13
8518,9
8518,8
8518,7
8518,14
8518,14
8518,7
8518,8
8518,27
8518,10
8518,8
8518,7
8518,8
8518,9
8518,7
8518,16
8518,10
8518,6
8518,5
8518,5
8518,6
8518,7
8518,11
8518,7
8518,8
8518,6
8518,9
8518,6
8518,6
8518,10
8518,7
8518,9
8518,8
8518,6
8518,7
8518,6
8518,8
8518,7
8518,8
8518,5
8518,5
8518,6
8518,5
8518,6
8518,6
8518,8
8518,6
8518,5
8518,5
8518,6
8518,5
8518,6
8518,5
8518,5
8518,5
8518,5
8518,7
8518,6
8518,5
8518,5
7628,5409
7628,1499
7628,187
7628,152
7628,303
7628,283
7628,322
7628,638
7628,331
7628,190
7628,194
7628,167
7628,82
7628,34
7628,104
7628,118
7628,127
7628,45
7628,63
7628,18
7628,29
7628,10
7628,67
7628,27
7628,15
7628,19
7628,16
7628,11
7628,7
7628,20
7628,11
7628,11
7628,6
7628,9
7628,21
7628,8
7628,11
7628,11
7628,8
7628,8
7628,8
7628,7
7628,11
7628,9
7628,7
7628,6
7628,5
7628,11
7628,7
7628,8
7628,5
7628,8
7628,7
7628,8
7628,7
7628,8
7628,7
7628,5
7628,5
7628,6
7628,5
7628,5
7628,6
7628,5
7628,7
7628,6
7628,5
7611,1526
7611,128
7611,256
7611,121
7611,195
7611,113
7611,118
7611,153
7611,166
7611,83
7611,43
7611,28
7611,51
7611,81
7611,71
7611,115
7611,60
7611,43
7611,61
7611,49
7611,52
7611,20
7611,38
7611,31
7611,30
7611,43
7611,18
7611,15
7611,16
7611,23
7611,26
7611,19
7611,41
7611,15
7611,29
7611,16
7611,15
7611,12
7611,20
7611,18
7611,19
7611,8
7611,9
7611,11
7611,10
7611,15
7611,10
7611,14
7611,15
7611,7
7611,26
7611,18
7611,16
7611,25
7611,13
7611,7
7611,43
7611,12
7611,12
7611,12
7611,10
7611,12
7611,20
7611,8
7611,14
7611,11
7611,17
7611,13
7611,7
7611,9
7611,12
7611,8
7611,5
7611,7
7611,7
7611,16
7611,7
7611,10
7611,5
7611,10
7611,6
7611,10
7611,12
7611,6
7611,7
7611,6
7611,8
7611,8
7611,5
7611,10
7611,5
7611,6
7611,6
7611,6
7611,7
7611,5
7611,6
7611,10
7611,9
7611,5
7611,10
7611,7
7611,5
7611,6
7611,5
7611,6
7611,5
7611,5
7611,5
7611,6
7611,7
7611,6
7611,6
7611,6
7611,6
7611,6
7611,8
7611,7
7611,6
7611,5
7611,5
7611,5
7632,404
7632,310
7632,185
7632,65
7632,42
7632,52
7632,151
7632,181
7632,47
7632,182
7632,162
7632,37
7632,50
7632,39
7632,29
7632,79
7632,17
7632,29
7632,30
7632,31
7632,54
7632,32
7632,29
7632,33
7632,34
7632,33
7632,35
7632,47
7632,51
7632,28
7632,13
7632,20
7632,17
7632,18
7632,22
7632,20
7632,30
7632,17
7632,15
7632,32
7632,23
7632,17
7632,47
7632,35
7632,18
7632,15
7632,15
7632,13
7632,10
7632,18
7632,29
7632,12
7632,15
7632,12
7632,16
7632,17
7632,9
7632,8
7632,8
7632,6
7632,8
7632,12
7632,5
7632,32
7632,10
7632,7
7632,9
7632,6
7632,8
7632,11
7632,8
7632,7
7632,5
7632,7
7632,7
7632,12
7632,8
7632,7
7632,8
7632,16
7632,6
7632,7
7632,5
7632,6
7632,8
7632,7
7632,6
7632,7
7632,6
7632,6
7632,6
7632,5
7632,5
7632,5
7632,5
7632,5
7632,6
7632,6
