"auto_id","Unit","ID","DATACLASS","RAWMAT","SUPPORT","TECHNIQUE","FORM","FBTYPE1","FBTYPE2","CORETYPE","BIFTYPE","NORETEDGE","RETINT","T-FCHAR","T-FSURF","T-FLOC","PLATSURF","EXTPLAT","FACES","PLATFORMS","PLATTEC1","PLATTEC2","SCARMORPH","RETEDGE","CORTEX","DISCARD","EDGEDAMAGE","ALTERATION","PROXSCARS","SCARLENGTH","LENGTH","TQWIDTH","TQTHICK","MIDWIDTH","MIDTHICK","TIPWIDTH","WIDTH","LENTOWID","THICK","LENTOTHICK","ROEW1","ROET1","ROEW3","ROET3","PLATWIDTH","PLATTHICK","SMALLPW","BULB","EPA","WEIGHT"
10806,"F29",615,"PROXFLAKE","LOCALFLINT","FLAKE","NORMAL","NORMAL",-9999,-9999," ",NA,0,""," "," "," ","PLAIN","CONVEX",NA,"","","","",NA,"100%"," ","NONE","UNALTERED",0,-9999,22.01,-9999,-9999,-9999,-9999,-9999,15.755,-9999,6.025,-9999,-9999,-9999,-9999,-9999,13.12,6.725,-9999,-9999,-9999,3
10773,"G28",656,"COMPFLAKE","LOCALFLINT","FLAKE","NORMAL","ANGULAR",-9999,-9999," ",NA,0,""," "," "," ","CORTICAL","CONVEX",NA,"","","","",NA,"1-10%"," ","NONE","",0,-9999,28.665,-9999,-9999,-9999,-9999,-9999,14.975,-9999,9.82,-9999,-9999,-9999,-9999,-9999,11.82,8.61,-9999,-9999,-9999,6
10657,"F29",582,"PROXFLAKE","LOCALFLINT","FLAKE","NORMAL","ANGULAR",-9999,-9999," ",NA,0,""," "," "," ","PUNCTIFORM","CENT-RIDGE",NA,"","","","OTHER",NA,"10-40%"," ","EXTERIOR","LIGHTPATIN",0,-9999,37.415,-9999,-9999,-9999,-9999,-9999,17.94,-9999,14.43,-9999,-9999,-9999,-9999,-9999,6.805,1.885,-9999,-9999,-9999,11
10897,"G27",190,"PROXFLAKE","OTHERFLINT","FLAKE","NORMAL","NORMAL",-9999,-9999," ",NA,0,""," "," "," ","FACETED","STRAIGHT",NA,"","","","PLAIN",NA,"0%"," ","EXTERIOR","UNALTERED",0,-9999,24.805,-9999,-9999,-9999,-9999,-9999,18.62,-9999,5.435,-9999,-9999,-9999,-9999,-9999,25.715,5.575,-9999,-9999,-9999,5
10687,"F29",592,"PROXFLAKE","LOCALFLINT","","NORMAL","NORMAL",-9999,-9999," ",NA,0,""," "," "," ","PLAIN","BEVELED",NA,"","","","",NA,"60-90%"," ","EXTERIOR","UNALTERED",0,-9999,29.315,-9999,-9999,-9999,-9999,-9999,24.605,-9999,6.06,-9999,-9999,-9999,-9999,-9999,12.965,3.855,-9999,-9999,-9999,6
10663,"E29",716,"PROXFLAKE","LOCALFLINT","FLAKE","NORMAL","DEBORDANT",-9999,-9999," ",NA,0,""," "," "," ","CORTICAL","",NA,"","","","PLAIN",NA,"100%"," ","NONE","UNALTERED",0,-9999,32.175,-9999,-9999,-9999,-9999,-9999,16.89,-9999,4.74,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5
10899,"E27",225,"COMPFLAKE","LOCALFLINT","FLAKE","NORMAL","ANGULAR",-9999,-9999," ",NA,0,""," "," "," ","","",NA,"","","","",NA,"1-10%"," ","EXT/INT","",0,-9999,22.07,-9999,-9999,-9999,-9999,-9999,19.94,-9999,4.87,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3
10898,"E27",224,"COMPFLAKE","OTHERFLINT","FLAKE","NORMAL","BROAD",48,-9999," ",NA,0,""," "," "," ","FACETED","STRAIGHT",NA,"","","","PLAIN",NA,"0%"," ","EXT/INT","UNALTERED",0,-9999,19.735,-9999,-9999,-9999,-9999,-9999,15.55,-9999,3.82,-9999,-9999,-9999,-9999,-9999,26.555,6.125,-9999,-9999,-9999,2
10715,"F29",600,"DISTFLAKE","OTHERFLINT","FLAKE","","NORMAL",48,-9999," ",NA,0,""," "," "," ","","",NA,"","","","CONVERGENT",NA,"0%"," ","EXT/INT","UNALTERED",0,-9999,34.995,-9999,-9999,-9999,-9999,-9999,22.635,-9999,3.76,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5
10843,"H27",198,"COMPFLAKE","","FLAKE","NORMAL","EXPANDING",-9999,-9999," ",NA,0,""," "," "," ","","",NA,"","","","PLAIN",NA,"90-99%"," ","NONE","UNALTERED",0,-9999,17.425,-9999,-9999,-9999,-9999,-9999,13.235,-9999,2.95,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1
